priority_rank,name,state,city,tier,assets_musd,offices,est_net_benefit,net_low,net_high,roi_pct,log_assets,log_offices,cluster,segment,segment_rank
170,United Community Bank,IL,Chatham,Large / regional,4165.4,46.0,1385081.1821064632,621922.9175564633,2148239.4466564627,392.276072977637,6.619656712693948,3.8501476017100584,1,A — Target first,1
172,The First Bank and Trust Company,VA,Lebanon,Large / regional,4147.9,35.0,1379052.318790438,619085.8427554377,2139018.794825437,391.5519931128811,6.617828277617751,3.58351893845611,1,A — Target first,1
174,RCB Bank,OK,Claremore,Large / regional,4073.4,62.0,1353254.4873172822,606949.4377572823,2099559.536877282,388.432003508564,6.6099570590580345,4.143134726391533,1,A — Target first,1
176,"California Bank of Commerce, National Association",CA,San Diego,Large / regional,4046.5,14.0,1343968.7516368509,602582.4751818511,2085355.0280918507,387.30027256013966,6.607079544728571,2.70805020110221,1,A — Target first,1
177,Woori America Bank,NY,New York,Large / regional,4041.6,22.0,1342256.132962992,601777.1371879918,2082735.128737992,387.09103010930136,6.606553328875236,3.1354942159291497,1,A — Target first,1
178,Gate City Bank,ND,Fargo,Large / regional,4028.8,46.0,1337821.2641100904,599691.8174950904,2075950.7107250905,386.54844715704246,6.605175708427769,3.8501476017100584,1,A — Target first,1
179,"Spencer Savings Bank, SLA",NJ,Elmwood Park,Large / regional,4025.5,28.0,1336678.3646515587,599154.4436115586,2074202.285691559,386.4084448372167,6.604819830978338,3.367295829986474,1,A — Target first,1
180,Union Savings Bank,OH,Cincinnati,Large / regional,4010.6,39.0,1331531.2722887564,596734.5065237567,2066328.038053756,385.7770485885223,6.603209349477183,3.6888794541139363,1,A — Target first,1
181,West Bank,IA,West Des Moines,Large / regional,4010.3,12.0,1331452.7813608863,596697.6054008866,2066207.957320886,385.7674087610531,6.60317686226387,2.5649493574615367,1,A — Target first,1
182,Central Bank & Trust Co.,KY,Lexington,Large / regional,3992.2,28.0,1325180.7665539647,593749.1106939648,2056612.4224139648,384.9960109194357,6.601212290310882,3.367295829986474,1,A — Target first,1
183,First Bank,NJ,Hamilton,Large / regional,3970.8,27.0,1317767.5997400149,590264.6231250148,2045270.576355015,384.0814367788747,6.598878013207478,3.332204510175204,1,A — Target first,1
184,First Guaranty Bank,LA,Hammond,Large / regional,3956.1,30.0,1312696.1678978154,587881.1385478154,2037511.197247816,383.4539894273924,6.597267260907774,3.4339872044851463,1,A — Target first,1
185,River Bank & Trust,AL,Prattville,Large / regional,3915.2,25.0,1298572.1091822486,581244.3440222486,2015899.8743422483,381.69884276138566,6.592753952007714,3.258096538021482,1,A — Target first,1
186,Bank of Marin,CA,Novato,Large / regional,3913.5,29.0,1297965.2818960152,580959.2422760152,2014971.321516015,381.623178857846,6.592565338155902,3.4011973816621555,1,A — Target first,1
